year,level_1,level_2,value
2000,All Items,Household Durables And Services,87.145
2000,All Items,Health Care,66.768
2000,All Items,Transport,76.125
2000,All Items,Communication,107.936
2000,All Items,Recreation & Culture,88.91
2000,All Items,Education,63.633
2000,All Items,Miscellaneous Goods & Services,73.188
2001,All Items,Food,74.324
2001,All Items,Food Excl Food Servicing Services,69.881
2001,All Items,Food Servicing Services,77.687
2001,All Items,Clothing & Footwear,93.437
2001,All Items,Housing & Utilities,67.156
2001,All Items,Household Durables And Services,86.761
2001,All Items,Health Care,68.696
2001,All Items,Transport,75.293
2001,All Items,Communication,105.43
2001,All Items,Recreation & Culture,91.182
2001,All Items,Education,66.118
2001,All Items,Miscellaneous Goods & Services,75.662
2002,All Items,Food,74.345
2002,All Items,Food Excl Food Servicing Services,69.109
2002,All Items,Food Servicing Services,78.387
2002,All Items,Clothing & Footwear,93.862
2002,All Items,Housing & Utilities,65.679
2002,All Items,Household Durables And Services,86.075
2002,All Items,Health Care,70.73
2002,All Items,Transport,74.438
2002,All Items,Communication,105.193
2002,All Items,Recreation & Culture,91.276
2002,All Items,Education,67.649
2002,All Items,Miscellaneous Goods & Services,75.393
2003,All Items,Food,74.788
2003,All Items,Food Excl Food Servicing Services,69.538
2003,All Items,Food Servicing Services,78.84
2003,All Items,Clothing & Footwear,94.38
2003,All Items,Housing & Utilities,65.458
2003,All Items,Household Durables And Services,85.666
2003,All Items,Health Care,72.069
2003,All Items,Transport,74.295
2003,All Items,Communication,106.598
2003,All Items,Recreation & Culture,89.725
2003,All Items,Education,69.918
2003,All Items,Miscellaneous Goods & Services,79.25
2004,All Items,Food,76.296
2004,All Items,Food Excl Food Servicing Services,71.784
2004,All Items,Food Servicing Services,79.705
2004,All Items,Clothing & Footwear,94.545
2004,All Items,Housing & Utilities,65.392
2004,All Items,Household Durables And Services,84.994
2004,All Items,Health Care,76.079
2004,All Items,Transport,75.39
2004,All Items,Communication,106.582
2004,All Items,Recreation & Culture,91.001
2004,All Items,Education,72.465
2004,All Items,Miscellaneous Goods & Services,84.396
2005,All Items,Food,77.277
